_step,eval_loss,train_loss,smoothed_loss,lr
240,,5.2676,5.1685,0.000356
240,,5.2676,5.1685,0.000356
241,,5.2388,5.1621,0.000357
241,,5.2388,5.1621,0.000357
242,,5.0869,5.1568,0.000359
242,,5.0869,5.1568,0.000359
243,,5.187,5.1606,0.00036
243,,5.187,5.1606,0.00036
244,,5.2124,5.1621,0.000362
244,,5.2124,5.1621,0.000362
245,,5.2568,5.1771,0.000363
245,,5.2568,5.1771,0.000363
246,,5.1794,5.1827,0.000365
246,,5.1794,5.1827,0.000365
247,,5.1672,5.1873,0.000366
247,,5.1672,5.1873,0.000366
248,,5.1763,5.197,0.000368
248,,5.1763,5.197,0.000368
249,,5.2173,5.199,0.000369
249,,5.2173,5.199,0.000369
250,,5.0532,5.1775,0.000371
250,,5.0532,5.1775,0.000371
251,,5.1992,5.1736,0.000372
251,,5.1992,5.1736,0.000372
252,,5.1221,5.1771,0.000374
252,,5.1221,5.1771,0.000374
253,,5.1038,5.1688,0.000375
253,,5.1038,5.1688,0.000375
254,,5.1262,5.1602,0.000376
254,,5.1262,5.1602,0.000376
255,,5.0317,5.1376,0.000378
255,,5.0317,5.1376,0.000378
256,,5.2183,5.1415,0.000379
256,,5.2183,5.1415,0.000379
257,,5.1697,5.1418,0.000381
257,,5.1697,5.1418,0.000381
258,,5.2068,5.1448,0.000382
258,,5.2068,5.1448,0.000382
259,,5.1416,5.1373,0.000384
259,,5.1416,5.1373,0.000384
260,,5.2856,5.1605,0.000385
260,,5.2856,5.1605,0.000385
261,,5.0427,5.1448,0.000387
261,,5.0427,5.1448,0.000387
262,,5.1108,5.1437,0.000388
262,,5.1108,5.1437,0.000388
263,,5.1946,5.1528,0.00039
263,,5.1946,5.1528,0.00039
264,,4.9905,5.1392,0.000391
264,,4.9905,5.1392,0.000391
265,,5.0898,5.145,0.000393
265,,5.0898,5.145,0.000393
266,,5.1038,5.1336,0.000394
266,,5.1038,5.1336,0.000394
267,,5.1133,5.128,0.000396
267,,5.1133,5.128,0.000396
268,,5.0774,5.115,0.000397
268,,5.0774,5.115,0.000397
269,,5.1433,5.1152,0.000399
269,,5.1433,5.1152,0.000399
270,,5.1445,5.1011,0.0004
270,,5.1445,5.1011,0.0004
271,,5.1113,5.1079,0.000402
271,,5.1113,5.1079,0.000402
272,,5.0671,5.1036,0.000403
272,,5.0671,5.1036,0.000403
273,,4.9917,5.0833,0.000405
273,,4.9917,5.0833,0.000405
274,,5.0925,5.0935,0.000406
274,,5.0925,5.0935,0.000406
275,,5.0813,5.0926,0.000408
275,,5.0813,5.0926,0.000408
276,,4.9067,5.0729,0.000409
276,,4.9067,5.0729,0.000409
277,,4.9521,5.0568,0.000411
277,,4.9521,5.0568,0.000411
278,,4.9529,5.0444,0.000412
278,,4.9529,5.0444,0.000412
279,,4.8914,5.0192,0.000414
279,,4.8914,5.0192,0.000414
280,,4.9331,4.998,0.000415
280,,4.9331,4.998,0.000415
281,,4.8096,4.9678,0.000417
281,,4.8096,4.9678,0.000417
282,,4.8809,4.9492,0.000418
282,,4.8809,4.9492,0.000418
283,,4.9612,4.9462,0.000419
283,,4.9612,4.9462,0.000419
284,,4.9165,4.9286,0.000421
284,,4.9165,4.9286,0.000421
285,,4.8481,4.9052,0.000422
285,,4.8481,4.9052,0.000422
286,,4.8386,4.8984,0.000424
286,,4.8386,4.8984,0.000424
287,,4.8796,4.8912,0.000425
287,,4.8796,4.8912,0.000425
288,,4.9646,4.8924,0.000427
288,,4.9646,4.8924,0.000427
289,,4.9827,4.9015,0.000428
289,,4.9827,4.9015,0.000428
290,,5.0198,4.9102,0.00043
290,,5.0198,4.9102,0.00043
291,,4.8823,4.9174,0.000431
291,,4.8823,4.9174,0.000431
292,,4.8901,4.9184,0.000433
292,,4.8901,4.9184,0.000433
293,,5.0383,4.9261,0.000434
293,,5.0383,4.9261,0.000434
294,,5.0405,4.9385,0.000436
294,,5.0405,4.9385,0.000436
295,,4.7527,4.9289,0.000437
295,,4.7527,4.9289,0.000437
296,,4.8792,4.933,0.000439
296,,4.8792,4.933,0.000439
297,,4.8677,4.9318,0.00044
297,,4.8677,4.9318,0.00044
298,,4.9468,4.93,0.000442
298,,4.9468,4.93,0.000442
299,,4.7844,4.9102,0.000443
299,,4.7844,4.9102,0.000443
300,,4.8879,4.897,0.000445
300,,4.8879,4.897,0.000445
301,,4.8406,4.8928,0.000446
301,,4.8406,4.8928,0.000446
302,,4.8816,4.892,0.000448
302,,4.8816,4.892,0.000448
303,,4.8369,4.8718,0.000449
303,,4.8369,4.8718,0.000449
304,,4.79,4.8468,0.000451
304,,4.79,4.8468,0.000451
305,,4.8955,4.8611,0.000452
